Zeitstempel;Maschine_ID;Temperatur;Druck;Gewicht;Laenge;Breite;Hoehe;Energieverbrauch;Status;Fehlercode
11.11.2024-08:57:50;F_VG002;85.4;2.53;162.0;34.2;50.0;25.0;5.0;Aktiv;
11.11.2024-08:58:04;F_VG002;84.5;2.53;162.0;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-08:58:18;F_VG002;85.4;2.51;162.1;33.9;49.9;25.0;5.0;Aktiv;
11.11.2024-08:58:32;F_VG002;85.2;2.45;162.0;34.1;50.0;25.1;5.0;Aktiv;
11.11.2024-08:58:46;F_VG002;84.9;2.44;161.9;33.9;50.0;24.9;5.0;Aktiv;
11.11.2024-08:59:00;F_VG002;84.8;2.45;162.0;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-08:59:14;F_VG002;85.0;2.54;162.0;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-08:59:28;F_VG002;84.9;2.47;162.0;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-08:59:42;F_VG002;85.6;2.48;161.9;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-08:59:56;F_VG002;85.1;2.44;162.0;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-09:00:10;F_VG002;85.1;2.48;162.1;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:00:24;F_VG002;85.5;2.52;162.2;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-09:00:38;F_VG002;84.7;2.55;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:00:52;F_VG002;84.3;2.43;162.0;33.9;50.0;24.9;5.0;Aktiv;
11.11.2024-09:01:06;F_VG002;85.2;2.55;161.9;33.9;49.9;25.0;5.0;Aktiv;
11.11.2024-09:01:20;F_VG002;84.8;2.55;162.0;33.8;50.1;24.9;5.0;Aktiv;
11.11.2024-09:01:34;F_VG002;85.0;2.6;161.9;34.1;49.9;24.9;5.0;Aktiv;
11.11.2024-09:01:48;F_VG002;85.6;2.46;162.0;33.9;50.1;25.0;5.0;Aktiv;
11.11.2024-09:02:02;F_VG002;85.1;2.52;161.9;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:02:16;F_VG002;84.8;2.41;162.1;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-09:02:30;F_VG002;85.5;2.46;162.0;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-09:02:44;F_VG002;85.6;2.53;162.0;34.2;50.0;25.0;5.0;Aktiv;
11.11.2024-09:02:58;F_VG002;85.5;2.47;162.0;34.1;49.9;25.0;5.0;Aktiv;
11.11.2024-09:03:12;F_VG002;85.2;2.52;162.1;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:03:26;F_VG002;85.2;2.47;161.9;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:03:40;F_VG002;84.9;2.44;162.0;34.1;50.0;24.9;5.0;Aktiv;
11.11.2024-09:03:54;F_VG002;84.6;2.43;162.1;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-09:04:08;F_VG002;84.5;2.49;162.1;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:04:22;F_VG002;84.9;2.52;162.0;33.9;50.0;24.9;5.0;Aktiv;
11.11.2024-09:04:36;F_VG002;85.1;2.5;162.0;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-09:04:50;F_VG002;84.8;2.44;162.0;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-09:05:04;F_VG002;85.1;2.52;162.2;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:05:18;F_VG002;84.8;2.55;162.2;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:05:32;F_VG002;84.9;2.48;161.9;33.9;49.9;25.0;5.0;Aktiv;
11.11.2024-09:05:46;F_VG002;84.6;2.53;162.1;34.2;50.0;24.9;5.0;Aktiv;
11.11.2024-09:06:00;F_VG002;84.7;2.55;161.9;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-09:06:14;F_VG002;84.7;2.57;162.1;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:06:28;F_VG002;85.1;2.51;162.2;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-09:06:42;F_VG002;85.3;2.59;162.1;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-09:06:56;F_VG002;84.5;2.48;161.9;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-09:07:10;F_VG002;84.6;2.54;162.0;34.1;50.0;24.9;5.0;Aktiv;
11.11.2024-09:07:24;F_VG002;84.8;2.52;162.0;33.9;50.0;24.9;5.0;Aktiv;
11.11.2024-09:07:38;F_VG002;84.9;2.4;161.9;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:07:52;F_VG002;85.5;2.48;161.9;34.0;50.1;24.9;5.0;Aktiv;
11.11.2024-09:08:06;F_VG002;85.1;2.44;161.9;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-09:08:20;F_VG002;84.9;2.42;162.0;33.8;50.0;25.0;5.0;Aktiv;
11.11.2024-09:08:34;F_VG002;84.8;2.51;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:08:48;F_VG002;85.4;2.5;162.0;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-09:09:02;F_VG002;84.8;2.47;162.0;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-09:09:16;F_VG002;84.8;2.54;161.9;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:09:30;F_VG002;85.5;2.48;162.1;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-09:09:44;F_VG002;84.7;2.47;161.9;34.0;50.1;25.0;5.0;Aktiv;
11.11.2024-09:09:58;F_VG002;85.3;2.49;161.9;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:10:12;F_VG002;84.9;2.53;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:10:26;F_VG002;85.2;2.5;162.0;33.9;50.0;25.1;5.0;Aktiv;
11.11.2024-09:10:40;F_VG002;85.8;2.47;162.1;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-09:10:54;F_VG002;84.9;2.54;161.9;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-09:11:08;F_VG002;84.6;2.56;162.1;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:11:22;F_VG002;85.2;2.55;162.0;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-09:11:36;F_VG002;85.0;2.45;162.0;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-09:11:50;F_VG002;85.5;2.57;162.1;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-09:12:04;F_VG002;85.2;2.52;161.9;34.1;50.1;25.0;5.0;Aktiv;
11.11.2024-09:12:18;F_VG002;84.9;2.47;162.1;33.9;50.0;24.9;5.0;Aktiv;
11.11.2024-09:12:32;F_VG002;85.4;2.54;161.9;33.9;50.0;25.1;5.0;Aktiv;
11.11.2024-09:12:46;F_VG002;84.9;2.54;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:13:00;F_VG002;84.7;2.45;162.0;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-09:13:14;F_VG002;85.7;2.49;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:13:28;F_VG002;85.0;2.57;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:13:42;F_VG002;85.3;2.49;162.1;34.0;50.0;25.2;5.0;Aktiv;
11.11.2024-09:13:56;F_VG002;85.1;2.51;161.9;33.9;50.0;25.1;5.0;Aktiv;
11.11.2024-09:14:10;F_VG002;85.1;2.51;161.9;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-09:14:24;F_VG002;85.1;2.55;161.8;33.9;50.0;25.2;5.0;Aktiv;
11.11.2024-09:14:38;F_VG002;84.4;2.5;161.9;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-09:14:52;F_VG002;84.9;2.4;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:15:06;F_VG002;84.9;2.53;162.0;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-09:15:20;F_VG002;84.9;2.48;161.9;33.9;50.0;25.1;5.0;Aktiv;
11.11.2024-09:15:34;F_VG002;85.3;2.5;161.9;34.0;49.9;25.0;5.0;Aktiv;
11.11.2024-09:15:48;F_VG002;85.4;2.51;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:16:02;F_VG002;84.6;2.56;162.0;34.0;49.9;25.1;5.0;Aktiv;
11.11.2024-09:16:16;F_VG002;85.8;2.51;162.0;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-09:16:30;F_VG002;85.0;2.57;162.1;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:16:44;F_VG002;85.2;2.57;162.0;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-09:16:58;F_VG002;84.8;2.49;162.0;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-09:17:12;F_VG002;85.5;2.44;162.0;33.9;50.0;25.1;5.0;Aktiv;
11.11.2024-09:17:26;F_VG002;85.2;2.5;161.9;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-09:17:40;F_VG002;84.9;2.57;162.0;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-09:17:54;F_VG002;84.4;2.45;162.1;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:18:08;F_VG002;85.2;2.4;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:18:22;F_VG002;84.9;2.47;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:18:36;F_VG002;84.8;2.53;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:18:50;F_VG002;85.0;2.6;162.0;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-09:19:04;F_VG002;84.7;2.48;162.0;34.0;50.1;25.0;5.0;Aktiv;
11.11.2024-09:19:18;F_VG002;85.2;2.41;161.9;34.0;49.9;25.0;5.0;Aktiv;
11.11.2024-09:19:32;F_VG002;85.1;2.49;162.1;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-09:19:46;F_VG002;85.0;2.46;162.1;33.9;50.0;25.1;5.0;Aktiv;
11.11.2024-09:20:00;F_VG002;85.1;2.51;161.9;34.1;50.0;25.1;5.0;Aktiv;
11.11.2024-09:20:14;F_VG002;85.2;2.52;162.1;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-09:20:28;F_VG002;85.2;2.45;162.0;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-09:20:42;F_VG002;85.8;2.51;162.0;34.0;49.9;24.9;5.0;Aktiv;
11.11.2024-09:20:56;F_VG002;85.1;2.47;162.0;34.1;50.1;25.0;5.0;Aktiv;
11.11.2024-09:21:10;F_VG002;85.2;2.46;161.9;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-09:21:24;F_VG002;85.2;2.45;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:21:38;F_VG002;84.6;2.52;162.1;33.9;50.0;25.1;5.0;Aktiv;
11.11.2024-09:21:52;F_VG002;84.8;2.47;162.0;34.1;50.0;25.1;5.0;Aktiv;
11.11.2024-09:22:06;F_VG002;85.5;2.54;162.1;34.1;49.9;25.0;5.0;Aktiv;
11.11.2024-09:22:20;F_VG002;84.3;2.56;162.1;33.9;50.1;25.0;5.0;Aktiv;
11.11.2024-09:22:34;F_VG002;85.0;2.53;162.1;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-09:22:48;F_VG002;84.8;2.52;162.1;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-09:23:02;F_VG002;85.3;2.54;162.1;33.9;50.0;24.9;5.0;Aktiv;
11.11.2024-09:23:16;F_VG002;85.0;2.45;162.0;34.1;49.9;25.0;5.0;Aktiv;
11.11.2024-09:23:30;F_VG002;84.8;2.49;162.0;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-09:23:44;F_VG002;84.8;2.59;161.9;33.8;50.0;25.0;5.0;Aktiv;
11.11.2024-09:23:58;F_VG002;85.4;2.52;162.0;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-09:24:12;F_VG002;84.9;2.47;162.0;34.0;50.1;24.9;5.0;Aktiv;
11.11.2024-09:24:26;F_VG002;85.1;2.55;162.0;33.8;50.0;25.0;5.0;Aktiv;
11.11.2024-09:24:40;F_VG002;85.3;2.55;161.9;33.9;49.9;25.1;5.0;Aktiv;
11.11.2024-09:24:54;F_VG002;85.2;2.42;162.0;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-09:25:08;F_VG002;85.1;2.55;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:25:22;F_VG002;84.6;2.53;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:25:36;F_VG002;85.1;2.55;162.1;34.1;49.9;25.1;5.0;Aktiv;
11.11.2024-09:25:50;F_VG002;85.3;2.51;162.1;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:26:04;F_VG002;85.1;2.5;161.8;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-09:26:18;F_VG002;84.8;2.54;161.9;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-09:26:32;F_VG002;84.9;2.42;162.0;34.1;50.1;25.0;5.0;Aktiv;
11.11.2024-09:26:46;F_VG002;85.2;2.56;161.9;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:27:00;F_VG002;84.7;2.52;161.9;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-09:27:14;F_VG002;85.5;2.52;162.2;34.0;50.1;24.9;5.0;Aktiv;
11.11.2024-09:27:28;F_VG002;85.1;2.57;161.9;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:27:42;F_VG002;84.7;2.49;161.9;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:27:56;F_VG002;85.0;2.49;161.9;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-09:28:10;F_VG002;84.7;2.45;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:28:24;F_VG002;85.3;2.47;162.0;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-09:28:38;F_VG002;85.0;2.56;162.0;34.0;50.0;25.2;5.0;Aktiv;
11.11.2024-09:28:52;F_VG002;85.4;2.51;162.1;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-09:29:06;F_VG002;84.8;2.43;161.9;34.1;50.1;25.1;5.0;Aktiv;
11.11.2024-09:29:20;F_VG002;85.2;2.5;161.9;33.9;49.9;25.0;5.0;Aktiv;
11.11.2024-09:29:34;F_VG002;84.8;2.53;162.0;34.0;50.1;25.0;5.0;Aktiv;
11.11.2024-09:29:48;F_VG002;84.9;2.42;162.1;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-09:30:02;F_VG002;85.3;2.42;161.9;34.0;49.9;25.0;5.0;Aktiv;
11.11.2024-09:30:16;F_VG002;84.7;2.48;162.1;33.9;50.0;25.1;5.0;Aktiv;
11.11.2024-09:30:30;F_VG002;84.7;2.4;161.9;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:30:44;F_VG002;85.4;2.55;161.9;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:30:58;F_VG002;84.8;2.47;162.1;34.0;49.9;24.9;5.0;Aktiv;
11.11.2024-09:31:12;F_VG002;85.2;2.57;162.0;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-09:31:26;F_VG002;85.1;2.58;162.0;33.9;50.0;25.1;5.0;Aktiv;
11.11.2024-09:31:40;F_VG002;84.7;2.54;162.1;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-09:31:54;F_VG002;85.2;2.49;162.0;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-09:32:08;F_VG002;85.0;2.48;162.0;34.1;50.0;25.1;5.0;Aktiv;
11.11.2024-09:32:22;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:32:36;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:32:50;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:33:04;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:33:18;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:33:32;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:33:46;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:34:00;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:34:14;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:34:28;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:34:42;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:34:56;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:35:10;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:35:24;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:35:38;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:35:52;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:36:06;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:36:20;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:36:34;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:36:48;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:37:02;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:37:16;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:37:30;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:37:44;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:37:58;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:38:12;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:38:26;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:38:40;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:38:54;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:39:08;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:39:22;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:39:36;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:39:50;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:40:04;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:40:18;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:40:32;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:40:46;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:41:00;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:41:14;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:41:28;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:41:42;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:41:56;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:42:10;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:42:24;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:42:38;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:42:52;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:43:06;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:43:20;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:43:34;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:43:48;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:44:02;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:44:16;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:44:30;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:44:44;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:44:58;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:45:12;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:45:26;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:45:40;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:45:54;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:46:08;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:46:22;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:46:36;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:46:50;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:47:04;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:47:18;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:47:32;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:47:46;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:48:00;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:48:14;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:48:28;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:48:42;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:48:56;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:49:10;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:49:24;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:49:38;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:49:52;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:50:06;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:50:20;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:50:34;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:50:48;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:51:02;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:51:16;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:51:30;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:51:44;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:51:58;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:52:12;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:52:26;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:52:40;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:52:54;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:53:08;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:53:22;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:53:36;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:53:50;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:54:04;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:54:18;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:54:32;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:54:46;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:55:00;F_VG002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Wartung;F03
11.11.2024-09:55:14;F_VG002;85.4;2.53;162.0;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-09:55:28;F_VG002;84.9;2.45;162.1;33.9;50.0;24.9;5.0;Aktiv;
11.11.2024-09:55:42;F_VG002;84.5;2.51;162.0;34.1;49.9;24.9;5.0;Aktiv;
11.11.2024-09:55:56;F_VG002;84.8;2.43;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:56:10;F_VG002;84.9;2.5;161.9;33.9;49.9;25.1;5.0;Aktiv;
11.11.2024-09:56:24;F_VG002;85.0;2.43;162.2;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:56:38;F_VG002;85.3;2.52;162.0;33.9;50.1;25.0;5.0;Aktiv;
11.11.2024-09:56:52;F_VG002;85.4;2.5;162.1;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-09:57:06;F_VG002;85.0;2.4;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-09:57:20;F_VG002;84.6;2.46;162.1;33.9;50.0;25.1;5.0;Aktiv;
